編號,經度,緯度,事件類別,CBI值
108_A1_1,121.547207,24.896801,A1,3
108_A1_2,121.712519,25.097169,A1,3
108_A1_3,120.290971,23.034979,A1,3
108_A1_4,121.704939,25.141623,A1,3
108_A1_5,120.928382,24.683937,A1,3
108_A1_6,121.252581,24.939473,A1,3
108_A1_7,120.807731,24.571506,A1,3
108_A1_8,121.484635,25.076559,A1,3
108_A1_9,121.079359,24.724161,A1,3
108_A1_10,120.333588,22.605671,A1,3
108_A1_11,121.413873,24.955711,A1,3
108_A1_12,120.647394,24.43418,A1,3
108_A1_13,120.774332,23.941834,A1,3
108_A1_14,121.510881,25.080026,A1,3
108_A1_15,121.42639,24.990655,A1,3
108_A1_16,120.67529,24.09779,A1,3
108_A1_17,121.281663,24.872455,A1,3
108_A1_18,120.668893,24.132052,A1,3
108_A1_19,121.483964,25.017654,A1,3
108_A1_20,120.73214,24.341434,A1,3
108_A1_21,121.288603,24.841551,A1,3
108_A1_22,120.31516,23.881973,A1,3
108_A1_23,120.480065,23.966727,A1,3
108_A1_24,120.543464,23.951447,A1,3
108_A1_25,121.238561,24.9174,A1,3
108_A1_26,120.506099,24.042727,A1,3
108_A1_27,121.487227,25.057126,A1,3
108_A1_28,121.584134,25.055568,A1,3
108_A1_29,120.245678,22.783876,A1,3
108_A1_30,120.222126,23.19105,A1,3
108_A1_31,121.288522,24.819576,A1,3
108_A1_32,120.36289,22.58997,A1,3
108_A1_33,120.572977,24.054838,A1,3
108_A1_34,120.312955,22.752182,A1,3
108_A1_35,121.465521,23.34175,A1,3
108_A1_36,120.212382,22.997745,A1,3
108_A1_37,120.255333,23.672795,A1,3
108_A1_38,121.25493,24.927756,A1,3
108_A1_39,120.311307,23.637131,A1,3
108_A1_40,120.585404,24.362147,A1,3
108_A1_41,121.24823,24.957086,A1,3
108_A1_42,121.254504,24.918772,A1,3
108_A1_43,120.906537,24.691023,A1,3
108_A1_44,120.818791,24.636052,A1,3
108_A1_45,120.297339,23.036084,A1,3
108_A1_46,120.693169,24.182972,A1,3
108_A1_47,120.241228,23.01901,A1,3
108_A1_48,121.744376,25.112762,A1,3
108_A1_49,120.2146,22.87626,A1,3
108_A1_50,120.5827,24.172598,A1,3
108_A1_51,121.549125,25.137193,A1,3
108_A1_52,121.032902,24.844777,A1,3
108_A1_53,120.387583,22.618481,A1,3
108_A1_54,121.586594,25.059159,A1,3
108_A1_55,121.582513,25.068316,A1,3
108_A1_56,120.4728,22.86937,A1,3
108_A1_57,121.310845,24.986188,A1,3
108_A1_58,121.516876,25.111995,A1,3
108_A1_59,121.523193,25.05077,A1,3
108_A1_60,121.50474,24.991492,A1,3
108_A1_61,120.391017,22.612284,A1,3
108_A1_62,120.320656,22.606913,A1,3
108_A1_63,121.576342,24.970335,A1,3
108_A1_64,120.551175,22.46959,A1,3
108_A1_65,121.088251,24.893668,A1,3
108_A1_66,121.048247,22.707315,A1,3
108_A1_67,120.4248,22.65236,A1,3
108_A1_68,120.628017,22.694514,A1,3
108_A1_69,121.47442,25.071123,A1,3
108_A1_70,121.513243,25.047403,A1,3
108_A1_71,121.513888,25.007958,A1,3
108_A1_72,120.749767,23.750194,A1,3
108_A1_73,120.3117,22.62773,A1,3
108_A1_74,121.216081,25.105224,A1,3
108_A1_75,121.75578,24.755799,A1,3
108_A1_76,120.570073,24.24027,A1,3
108_A1_77,120.187069,23.03802,A1,3
108_A1_78,121.287312,24.934434,A1,3
108_A1_79,120.893164,22.339741,A1,3
108_A1_80,121.543627,25.062918,A1,3
108_A1_81,120.813713,24.632806,A1,3
108_A1_82,120.378436,23.899396,A1,3
108_A1_83,120.372059,23.903619,A1,3
108_A1_84,120.483197,22.892938,A1,3
108_A1_85,120.2461,22.85737,A1,3
108_A1_86,121.452619,25.036297,A1,3
108_A1_87,121.076701,22.714419,A1,3
108_A1_88,121.419979,25.027256,A1,3
108_A1_89,121.579761,25.041192,A1,3
108_A1_90,120.973049,23.965091,A1,3
108_A1_91,121.503844,25.257621,A1,3
108_A1_92,121.522507,25.062715,A1,3
108_A1_93,121.812275,24.779988,A1,3
108_A1_94,120.636473,24.186283,A1,3
108_A1_95,121.470823,25.046991,A1,3
